%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.theta,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration,field.event
301632000000,0,301632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,Goal registered at x:7.33 y:1.75
301733000000,1,301733000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
301832000000,2,301832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
301932000000,3,301932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302033000000,4,302033000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302132000000,5,302132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302232000000,6,302232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302332000000,7,302332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302432000000,8,302432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302533000000,9,302533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302632000000,10,302632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302733000000,11,302733000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302832000000,12,302832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
302933000000,13,302933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303032000000,14,303032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303133000000,15,303133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303232000000,16,303232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303333000000,17,303333000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303432000000,18,303432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303532000000,19,303532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303633000000,20,303633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303732000000,21,303732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303832000000,22,303832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
303933000000,23,303933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304032000000,24,304032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304133000000,25,304133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304232000000,26,304232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304333000000,27,304333000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304432000000,28,304432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304533000000,29,304533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304633000000,30,304633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304732000000,31,304732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304832000000,32,304832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
304932000000,33,304932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305033000000,34,305033000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305133000000,35,305133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305232000000,36,305232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305332000000,37,305332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305432000000,38,305432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305532000000,39,305532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305632000000,40,305632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305732000000,41,305732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305833000000,42,305833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305933000000,43,305933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306032000000,44,306032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306132000000,45,306132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306233000000,46,306233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306332000000,47,306332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306432000000,48,306432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306532000000,49,306532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306632000000,50,306632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306732000000,51,306732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306832000000,52,306832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306932000000,53,306932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307032000000,54,307032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307132000000,55,307132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307233000000,56,307233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307332000000,57,307332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307432000000,58,307432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307532000000,59,307532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307633000000,60,307633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307732000000,61,307732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307832000000,62,307832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307932000000,63,307932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308036000000,64,308036000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308132000000,65,308132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308233000000,66,308233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308332000000,67,308332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308432000000,68,308432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308532000000,69,308532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308632000000,70,308632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308732000000,71,308732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308833000000,72,308833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308933000000,73,308933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309032000000,74,309032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309132000000,75,309132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309232000000,76,309232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309332000000,77,309332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309432000000,78,309432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309532000000,79,309532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309633000000,80,309633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309733000000,81,309733000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309833000000,82,309833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
309932000000,83,309932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310032000000,84,310032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310133000000,85,310133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310235000000,86,310235000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310332000000,87,310332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310433000000,88,310433000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310532000000,89,310532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310632000000,90,310632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310732000000,91,310732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310832000000,92,310832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
310932000000,93,310932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311032000000,94,311032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311132000000,95,311132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311233000000,96,311233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311333000000,97,311333000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311432000000,98,311432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311532000000,99,311532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311632000000,100,311632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311732000000,101,311732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311832000000,102,311832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
311933000000,103,311933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312032000000,104,312032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312132000000,105,312132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312233000000,106,312233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312332000000,107,312332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312433000000,108,312433000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312532000000,109,312532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312633000000,110,312633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312732000000,111,312732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312832000000,112,312832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
312932000000,113,312932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313032000000,114,313032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313132000000,115,313132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313232000000,116,313232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313332000000,117,313332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313432000000,118,313432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313532000000,119,313532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313632000000,120,313632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313732000000,121,313732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313833000000,122,313833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
313932000000,123,313932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314032000000,124,314032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314133000000,125,314133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314232000000,126,314232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314332000000,127,314332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314432000000,128,314432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314532000000,129,314532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314632000000,130,314632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314732000000,131,314732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314832000000,132,314832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
314932000000,133,314932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315033000000,134,315033000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315132000000,135,315132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315233000000,136,315233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315332000000,137,315332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315432000000,138,315432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315533000000,139,315533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315632000000,140,315632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315732000000,141,315732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315832000000,142,315832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
315932000000,143,315932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316032000000,144,316032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316132000000,145,316132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316232000000,146,316232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316333000000,147,316333000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316433000000,148,316433000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316533000000,149,316533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316632000000,150,316632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316732000000,151,316732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316833000000,152,316833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
316932000000,153,316932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317032000000,154,317032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317132000000,155,317132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317232000000,156,317232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317332000000,157,317332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317432000000,158,317432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317532000000,159,317532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317632000000,160,317632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317732000000,161,317732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317833000000,162,317833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
317932000000,163,317932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318032000000,164,318032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318132000000,165,318132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318232000000,166,318232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318332000000,167,318332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318432000000,168,318432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318533000000,169,318533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318632000000,170,318632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318732000000,171,318732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318832000000,172,318832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
318933000000,173,318933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319033000000,174,319033000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319132000000,175,319132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319232000000,176,319232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319332000000,177,319332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319433000000,178,319433000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319533000000,179,319533000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319632000000,180,319632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319732000000,181,319732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319834000000,182,319834000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
319933000000,183,319933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
320032000000,184,320032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
320133000000,185,320133000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
320232000000,186,320232000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
320332000000,187,320332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
320432000000,188,320432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,Goal was reached
322533000000,189,322533000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,Goal registered at x:0 y:0
322632000000,190,322632000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
322732000000,191,322732000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
322832000000,192,322832000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
322932000000,193,322932000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323032000000,194,323032000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323132000000,195,323132000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323232000000,196,323232000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323333000000,197,323333000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323432000000,198,323432000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323533000000,199,323533000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
323633000000,200,323633000000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,2,
